,log_score_0,distance_0,comp_0,log_score_1,distance_1,comp_1,log_score_2,distance_2,comp_2,log_score_3,distance_3,comp_3,log_score_4,distance_4,comp_4
81,-4.138667200883096,2.27,2.0,-4.812487555801484,0.86,3.0,-5.089870889326835,0.69,1.0,-1.1262872139887987,7.46,2.0,-1.1663229102129433,7.02,1
82,-4.981668162203236,7.05,3.0,-4.682579079969395,0.69,1.0,-5.045601756685421,0.69,1.0,-1.129468705207288,7.13,3.0,-5.067046491778351,0.86,3
83,-0.2179350566777323,7.36,1.0,-4.698914740293881,0.69,1.0,-1.893870496100942,5.56,3.0,-0.5624620249132728,7.05,3.0,-4.967715356757177,0.69,1
84,-0.21656890249207528,2.81,1.0,-2.0932869099876266,5.56,3.0,-1.1877890141515468,7.31,0.0,-1.1263139251016823,4.47,0.0,-4.951424227334986,0.69,1
85,-0.2178951157182332,7.4,0.0,-1.1727385441121598,7.31,0.0,-1.1877890144188537,7.63,0.0,-1.2434251367857687,4.74,3.0,-1.883129116079237,5.56,3
86,-0.2220814789161903,7.34,1.0,-1.1727385443277463,7.63,0.0,-4.090991946589911,7.07,3.0,-1.126642766108679,5.47,0.0,-1.1663229102129433,7.31,0
87,-2.6726810810771275,1.06,0.0,-4.426910696744586,7.07,3.0,-9.827436842554086,7.23,3.0,-1.1474284295261383,6.24,2.0,-1.166322910435178,7.63,0
88,-5.583344076552447,0.72,2.0,-9.623659333274382,7.23,3.0,-5.453356721001465,2.27,2.0,-1.2932176047359216,2.57,3.0,-4.273298699988541,7.07,3
89,-0.21789511564401245,6.41,0.0,-9.112824641226425,2.27,2.0,-9.224269027149274,7.05,3.0,-1.8810014833841218,5.81,3.0,-9.701157728643247,7.23,3
90,-0.21789511564401245,7.46,2.0,-10.003745758130991,7.05,3.0,-1.1878755807455992,7.36,1.0,-1.126310182423226,5.79,1.0,-8.778036981722142,2.27,2
91,-0.2179165209724806,7.13,3.0,-1.1727739629862,7.36,1.0,-1.2874518918969096,2.81,1.0,-2.4145178900602127,3.69,3.0,-9.619201405395927,7.05,3
92,-0.1530823321662469,7.05,3.0,-1.2355702969350617,2.81,1.0,-1.1877890143778076,7.4,0.0,-1.1262873310248132,7.57,1.0,-1.1663859993238541,7.36,1
93,-0.21790193083845438,4.47,0.0,-1.1727385442398164,7.4,0.0,-1.8648825236734896,7.34,1.0,0.44301512255361275,0.75,1.0,-1.2642832601667173,2.81,1
94,-0.21644833019204082,4.74,3.0,-2.053637820092758,7.34,1.0,-5.183873675804042,1.06,0.0,-4.758345785685985,1.03,3.0,-1.1663229102500934,7.4,0
95,-0.21789056077290928,5.47,0.0,-4.812488935060272,1.06,0.0,-8.992163130321343,0.72,2.0,-1.1276382345662141,1.39,2.0,-1.1663213954935252,7.34,1
96,-0.21762025028837093,6.24,2.0,-9.238731374030072,0.72,2.0,-1.1877890141515468,6.41,0.0,-5.7812951594211555,1.93,0.0,-5.067047693720161,1.06,0
97,-0.23726907875190534,2.57,3.0,-1.1727385441121598,6.41,0.0,-1.1877890141515468,7.46,2.0,-1.1263498837035555,1.34,0.0,-9.085416014391765,0.72,2
98,-0.22208004649273685,5.81,3.0,-1.1727385441121598,7.46,2.0,-1.1878309625750767,7.13,3.0,-1.1274889500985756,5.49,3.0,-1.1663229102129433,6.41,0
