"X_ScoreRateH";"X_ScoreRateA";"X_ConcedeRateH";"X_ConcedeRateA";"X_CornerRatioH";"X_CornerRatioA";"X_FoulRatioH";"X_FoulRatioA";"GoalsScored"
0.954545455;1.409090909;1.227272727;1.590909091;0.442379182;0.519855596;0.510309278;0.53894081;NA
0.777777778;3.470588235;1.333333333;0.882352941;0.49044586;0.546961326;0.551789077;0.43187067;NA
1.181818182;3.818181818;1.363636364;1;0.341085271;0.49137931;0.516556291;0.453125;NA
2.555555556;0.861111111;0.555555556;1.25;0.655263158;0.427419355;0.424581006;0.511777302;NA
0.866666667;0.966666667;1.966666667;1.266666667;0.507204611;0.422413793;0.526627219;0.526506024;NA
1.25;3.833333333;1;0.916666667;0.57480315;0.483606557;0.495798319;0.444839858;NA
1.333333333;0.888888889;0.888888889;1.333333333;0.607476636;0.375;0.553846154;0.516605166;NA
0.827586207;0.896551724;1.827586207;1.379310345;0.427586207;0.487179487;0.532855436;0.53227771;NA
1.033333333;0.966666667;1.3;1.866666667;0.395498392;0.44375;0.505005562;0.513199578;NA
0.8;0.8;1.2;1.533333333;0.402515723;0.578231293;0.52284264;0.564948454;NA
0.869565217;0.869565217;1.304347826;2.260869565;0.554621849;0.520446097;0.513846154;0.534591195;NA
0.826086957;1;1.173913043;1.434782609;0.494949495;0.480686695;0.527777778;0.532394366;NA
1.5;1.25;1.194444444;2.055555556;0.510895884;0.501240695;0.484907498;0.499038462;NA
2.75;2.892857143;0.928571429;0.785714286;0.590604027;0.614379085;0.458108108;0.418086501;NA
1.375;3.375;1.125;1.125;0.355828221;0.619631902;0.509049774;0.412073491;NA
0.966666667;1.366666667;1.433333333;1.633333333;0.501805054;0.534285714;0.535535536;0.492215569;NA
1.666666667;1.833333333;0.833333333;0.666666667;0.683544304;0.535211268;0.424836601;0.49726776;NA
0.916666667;0.833333333;1.625;1.583333333;0.416083916;0.438596491;0.503576538;0.511659808;0
2.272727273;1.636363636;0.454545455;1;0.719298246;0.589285714;0.407272727;0.535816619;6
1.25;1.166666667;1.75;1.5;0.523809524;0.422077922;0.547803618;0.498412698;1
0.964285714;1.75;1.857142857;1.392857143;0.395061728;0.453020134;0.541147132;0.442253521;7
0.75;1.75;0.75;0.75;0.441860465;0.613636364;0.468468468;0.536;2
1;1.2;1.5;1.4;0.49137931;0.64893617;0.493006993;0.385159011;0
1;0.666666667;1.166666667;1.277777778;0.521052632;0.44278607;0.516666667;0.467391304;3
1.472222222;2.527777778;1.111111111;0.861111111;0.483870968;0.608910891;0.420152091;0.489423077;4
1.222222222;0.777777778;1.555555556;1.5;0.514563107;0.48989899;0.512524085;0.525667351;4
1.05;1.1;2;1.65;0.377192982;0.450980392;0.539543058;0.518134715;1
0.821428571;2.285714286;2;0.75;0.518404908;0.654109589;0.529411765;0.487531172;2
1;1;0;1;0.5;0.333333333;0.451612903;0.708333333;2
0.909090909;0.727272727;2;1.636363636;0.404958678;0.398148148;0.529032258;0.49378882;4
0.727272727;0.666666667;1.454545455;1.5;0.401639344;0.362903226;0.604501608;0.540389972;3
1.121212121;1.484848485;1.606060606;1.393939394;0.43258427;0.647239264;0.5336091;0.397231097;2
1.428571429;3.380952381;1.619047619;1.142857143;0.518796992;0.645320197;0.535303777;0.408;2
0.923076923;1;2.307692308;1.384615385;0.517730496;0.543478261;0.493333333;0.552311436;5
0.90625;0.84375;1.5625;1.25;0.5;0.415902141;0.492391304;0.511820331;1
1.2;0.8;1.5;1.5;0.391752577;0.537037037;0.476315789;0.514814815;3
1.4;3.2;1.314285714;0.857142857;0.572769953;0.578082192;0.475665748;0.476892822;3
1.166666667;2.5;2.25;0.916666667;0.509933775;0.582491582;0.45971564;0.430416069;3
1.766666667;0.933333333;0.766666667;1.833333333;0.414383562;0.462046205;0.475991649;0.526806527;3
1.861111111;2.972222222;0.777777778;0.527777778;0.560830861;0.638176638;0.480642115;0.392935982;1
0.875;0.625;1.125;1.5;0.49;0.493506494;0.451219512;0.440528634;1
1.230769231;1.423076923;1.538461538;1.692307692;0.397111913;0.459183673;0.54851752;0.518218623;0
3.5;1.416666667;0.75;1.333333333;0.535087719;0.614864865;0.447222222;0.541114058;5
1.258064516;1.064516129;2;1.35483871;0.44375;0.434782609;0.461928934;0.520432692;3
1.333333333;1.083333333;2.416666667;1.666666667;0.511278195;0.398734177;0.545454545;0.595238095;2
1.166666667;1.055555556;1.722222222;1.555555556;0.501160093;0.406824147;0.48265896;0.541910331;1
1.47826087;1.086956522;1.608695652;1.304347826;0.422641509;0.408163265;0.470254958;0.518032787;1
1.166666667;1.555555556;1.666666667;1.055555556;0.414141414;0.542288557;0.538461538;0.572232645;2
1.35483871;1.548387097;1.64516129;1.483870968;0.542936288;0.495575221;0.486206897;0.474842767;1
1.08;0.84;1.44;1.84;0.4453125;0.414814815;0.440353461;0.56940874;3
1.083333333;1.166666667;1.666666667;1.583333333;0.414634146;0.542253521;0.463894967;0.50591716;2
0;1;0;3;0.6;0.411764706;0.542857143;0.516129032;8
1.28125;0.8125;1.625;1.125;0.542699725;0.488888889;0.522357724;0.521787709;4
1.783783784;0.783783784;1.378378378;1.27027027;0.535175879;0.494791667;0.535748332;0.497148289;4
1.791666667;2.875;1.416666667;0.708333333;0.48;0.598455598;0.44295302;0.409295352;4
1.214285714;1.071428571;1.571428571;2.071428571;0.423076923;0.367346939;0.559278351;0.546116505;4
0.92;1.08;1.92;1.12;0.425925926;0.503546099;0.514285714;0.467496542;1
0.916666667;2.833333333;1.666666667;0.583333333;0.506756757;0.666666667;0.512345679;0.411764706;5
0.80952381;1;1.238095238;1.238095238;0.507633588;0.443548387;0.534513274;0.50448833;1
1.666666667;1.166666667;1.166666667;1.666666667;0.473684211;0.460526316;0.528205128;0.45625;2
1;1.45;1.7;1.6;0.475961538;0.572033898;0.492113565;0.482638889;2
0.92;1.08;1.36;1.72;0.413427562;0.496296296;0.5125;0.541341654;2
0.90625;2.875;1.4375;0.8125;0.525525526;0.61627907;0.511375948;0.410285714;1
1.333333333;1.757575758;1.96969697;0.818181818;0.487113402;0.62962963;0.447368421;0.525252525;0
2.48;3.28;0.92;1.12;0.583606557;0.653679654;0.434119279;0.419141914;3
1;0.818181818;1.272727273;1.545454545;0.367647059;0.503496503;0.501792115;0.52739726;5
0.655172414;1;1.793103448;1.103448276;0.508532423;0.644736842;0.523409364;0.518686297;2
1.15;0.8;1.6;2.15;0.456140351;0.512931034;0.530275229;0.53442029;6
0.65;0.9;1.65;2.05;0.494791667;0.425;0.530405405;0.546232877;1
1.216216216;1.594594595;1.405405405;1.162162162;0.458438287;0.559322034;0.442136499;0.559187279;1
2.407407407;0.925925926;0.740740741;1.518518519;0.651567944;0.503937008;0.481338481;0.476982097;2
0.903225806;1.193548387;1.870967742;1.225806452;0.461538462;0.5;0.526077098;0.517525773;4
1.375;2.625;1.375;0.75;0.547619048;0.807228916;0.522088353;0.481012658;1
1.473684211;1.315789474;1.526315789;1.315789474;0.577777778;0.466666667;0.473873874;0.500815661;4
1.066666667;3.333333333;0.733333333;0.866666667;0.458333333;0.544117647;0.467625899;0.443231441;8
1.555555556;1.388888889;1.388888889;1.722222222;0.563380282;0.433333333;0.481132075;0.463286713;4
1.384615385;1.730769231;1.307692308;1;0.568345324;0.511415525;0.483394834;0.43161857;4
1.21875;1.5625;1.34375;1.1875;0.488304094;0.543661972;0.508682329;0.552178318;4
1.217391304;0.782608696;1.52173913;1.739130435;0.618181818;0.420634921;0.389312977;0.566145092;6
1.741935484;2.774193548;1.419354839;1.032258065;0.444117647;0.584615385;0.44638404;0.469240048;4
1.571428571;1.571428571;0.571428571;1;0.504950495;0.492753623;0.433862434;0.507853403;3
1.035714286;2.857142857;1.107142857;0.607142857;0.646464646;0.645283019;0.511242604;0.393939394;1
1.166666667;0.888888889;1.5;1.333333333;0.472081218;0.459183673;0.532956685;0.61443662;1
1.096774194;1.096774194;2.193548387;1.419354839;0.504225352;0.486956522;0.499443826;0.518742443;3
1.1;3.2;1.55;0.55;0.526595745;0.672727273;0.466442953;0.437623762;3
0;1;0;2;0.294117647;0.818181818;0.470588235;0.56;3
2.2;0.8;0;0.6;0.761904762;0.518518519;0.466666667;0.493506494;6
1.125;1.375;1.25;2.375;0.450549451;0.384615385;0.524904215;0.534693878;0
2;1;1.5;1;0.517241379;0.423076923;0.661290323;0.553571429;2
1.421052632;2.368421053;1.421052632;1.052631579;0.502164502;0.60944206;0.537477148;0.440740741;5
3;0.810810811;0.945945946;1.540540541;0.583333333;0.480769231;0.410602911;0.517140059;10
0.894736842;1;1.473684211;2.368421053;0.532994924;0.520179372;0.489563567;0.493934142;2
1.25;0.8125;1.625;1.6875;0.438202247;0.415384615;0.550561798;0.530864198;2
2;2.5;0.916666667;0.5;0.398305085;0.707317073;0.471938776;0.394736842;1
0.75;1.15;1.8;1.55;0.402843602;0.477477477;0.567880795;0.526315789;3
1;0;5;1;0.1;0.470588235;0.571428571;0.590909091;3
0.5;0;1.5;2.5;0.578947368;0.7;0.470588235;0.509090909;0
1.333333333;1.303030303;1.242424242;1.303030303;0.608;0.492877493;0.557407407;0.506416584;4
1;1;1.5;0;0.666666667;0.48;0.513513514;0.462962963;5
2;0.666666667;0.666666667;1.333333333;0.6;0.566666667;0.540816327;0.476190476;2
1;1.666666667;0.666666667;1;0.424242424;0.694444444;0.444444444;0.458333333;1
0;2;3;0;0.571428571;0.545454545;0.407407407;0.684210526;2
0.923076923;0.923076923;1.5;1.346153846;0.393333333;0.422297297;0.515988372;0.513944223;2
1.272727273;1.272727273;2.181818182;1.181818182;0.4375;0.487394958;0.504731861;0.553846154;0
1.296296296;0.851851852;1.444444444;1.333333333;0.464788732;0.402930403;0.48156956;0.510344828;2
1;1;1.75;2;0.682926829;0.444444444;0.503496503;0.449541284;2
1.545454545;1.303030303;1.181818182;1.606060606;0.476351351;0.542105263;0.423194303;0.485468245;3
1.230769231;1.461538462;1.461538462;0.692307692;0.532894737;0.531428571;0.510869565;0.450777202;1
0.888888889;1.555555556;1.555555556;1.222222222;0.494736842;0.465116279;0.506329114;0.54296875;1
1.9;1.4;1;1.2;0.56302521;0.417910448;0.446735395;0.462897527;2
1.027027027;1.567567568;1.405405405;1.351351351;0.43814433;0.591240876;0.526046987;0.486749117;7
2.482758621;1.172413793;0.965517241;1.413793103;0.583815029;0.407284768;0.437198068;0.545130641;6
1.166666667;0.833333333;1.5;1.666666667;0.428571429;0.603448276;0.59602649;0.51497006;1
1.142857143;0.571428571;1.571428571;1.571428571;0.5625;0.532258065;0.482758621;0.543378995;3
0.777777778;1.111111111;1.888888889;1.222222222;0.49382716;0.485714286;0.411290323;0.543071161;2
0.875;1.75;1.375;1;0.420634921;0.505102041;0.536856745;0.436918991;4
0.9;0.9;1.6;1.3;0.518181818;0.54954955;0.544025157;0.534201954;0
1;1.571428571;1.25;1.178571429;0.408934708;0.542207792;0.51145959;0.56445993;4
1.130434783;1;1.47826087;1.217391304;0.438053097;0.479166667;0.441455696;0.607344633;1
0.944444444;3.194444444;1.472222222;0.833333333;0.457800512;0.580901857;0.442534909;0.480952381;3
1.666666667;1;1.916666667;1.083333333;0.516129032;0.441860465;0.56097561;0.556109726;1
1.166666667;1.333333333;1.333333333;0.833333333;0.53164557;0.426470588;0.48125;0.529761905;2
1.529411765;2.764705882;1.176470588;0.823529412;0.520512821;0.630727763;0.484359233;0.411700975;5
1.083333333;1.25;1.638888889;1.416666667;0.416458853;0.457583548;0.531522793;0.445585216;1
1.777777778;0.833333333;0.833333333;1.5;0.404494382;0.403755869;0.472854641;0.489361702;5
